time,frame,id,x,y,w,h,raw_prob,smoothed_prob,label
10.502773523330688,46,3,286,7,219,219,0.9977523684501648,0.6096863802522421,Interested
10.588083267211914,47,0,355,360,73,73,0.7948262095451355,0.6433719582855701,Interested
10.647538185119629,47,1,304,197,208,208,0.9987295269966125,0.9997505322098732,Interested
10.696394443511963,47,2,313,200,178,178,0.9996609687805176,0.9969961866736412,Interested
10.743392944335938,47,3,286,7,219,219,0.9045009613037109,0.7072375752031803,Interested
10.8424232006073,48,0,355,360,73,73,0.939172625541687,0.6774280332028866,Interested
10.903147459030151,48,1,304,197,208,208,0.9994402527809143,0.999695360660553,Interested
10.953049421310425,48,2,311,200,181,181,0.9975735545158386,0.9967822059988976,Interested
10.998351812362671,48,3,286,7,219,219,0.9990142583847046,0.8162409700453281,Interested
11.079315185546875,49,0,355,360,73,73,0.9021459817886353,0.7227330394089222,Interested
11.139016151428223,49,1,304,197,208,208,0.999139666557312,0.9995990991592407,Interested
11.189308881759644,49,2,309,201,182,182,0.9999080896377563,0.9967935383319855,Interested
11.238858461380005,49,3,286,7,219,219,0.9866003394126892,0.8990126326680183,Interested
11.318515062332153,50,1,304,197,208,208,0.9913948178291321,0.9985670819878578,Interested
11.366139888763428,50,2,309,201,182,182,0.981931209564209,0.9945582672953606,Interested
11.430052995681763,50,3,286,7,219,219,0.987537682056427,0.9396492391824722,Interested
11.510475397109985,51,2,312,203,178,178,0.9540860652923584,0.9888280108571053,Interested
11.55776572227478,51,3,286,7,219,219,0.40274834632873535,0.8847353532910347,Interested
11.665157556533813,52,2,311,201,181,181,0.9796725511550903,0.9862964823842049,Interested
11.710800170898438,52,3,286,7,219,219,0.9987044334411621,0.9070273116230965,Interested
11.792217254638672,53,2,312,202,181,181,0.9876202940940857,0.9871199503540993,Interested
11.880813360214233,54,2,314,203,178,178,0.9835960865020752,0.9855061024427414,Interested
11.984798908233643,55,2,312,202,182,182,0.9874875545501709,0.9839844256639481,Interested
12.068514347076416,56,2,307,200,186,186,0.9655411243438721,0.9799803718924522,Interested
12.149383068084717,57,2,309,203,179,179,0.9572928547859192,0.9746534675359726,Interested
12.232320070266724,58,2,307,201,184,184,0.9801002144813538,0.9744245931506157,Interested
12.313427925109863,59,2,308,202,182,182,0.9819934964179993,0.9779130220413208,Interested
12.39485764503479,60,2,309,203,180,180,0.9804227948188782,0.9780068024992943,Interested
12.476011514663696,61,2,308,201,183,183,0.9664220213890076,0.9753570184111595,Interested
12.559355735778809,62,2,310,202,181,181,0.9751744866371155,0.9743043184280396,Interested
12.639676332473755,63,2,310,201,181,181,0.9708694219589233,0.9722270518541336,Interested
12.710966110229492,64,2,311,201,177,177,0.9630900621414185,0.9719206690788269,Interested
12.80961561203003,65,2,312,202,174,174,0.8741233944892883,0.961524486541748,Interested
12.888402223587036,66,2,307,200,174,174,0.9485011696815491,0.9575746059417725,Interested
12.969288110733032,67,2,307,200,175,175,0.8922097682952881,0.9463516399264336,Interested
13.050352573394775,68,2,305,199,176,176,0.9478927254676819,0.942285381257534,Interested
13.131764888763428,69,2,305,199,176,176,0.9478927254676819,0.9399692192673683,Interested
13.213579654693604,70,2,303,198,178,178,0.91407310962677,0.9323315471410751,Interested
13.295475006103516,71,2,306,201,172,172,0.8605262637138367,0.9185386523604393,Interested
13.376570701599121,72,2,303,199,179,179,0.8841816782951355,0.9086751043796539,Interested
13.457805871963501,73,2,303,199,179,179,0.8841816782951355,0.9099323898553848,Interested
13.541175603866577,74,2,307,201,172,172,0.8932993412017822,0.903032161295414,Interested
13.619835615158081,75,2,306,200,175,175,0.9377238154411316,0.9087214171886444,Interested
13.710134506225586,76,2,305,200,177,177,0.9633702635765076,0.9106561094522476,Interested
13.807090520858765,77,2,305,200,177,177,0.950308084487915,0.9109580293297768,Interested
13.894974946975708,78,2,307,202,174,174,0.9498777389526367,0.9154336079955101,Interested
13.987246036529541,79,2,307,202,173,173,0.9748390316963196,0.9297227039933205,Interested
14.065390586853027,80,2,304,201,180,180,0.9301277995109558,0.935465969145298,Interested
14.145552635192871,81,2,305,201,179,179,0.9158563613891602,0.9394253045320511,Interested
14.232917547225952,82,2,306,203,175,175,0.9696331024169922,0.9489670246839523,Interested
14.314072608947754,83,2,307,204,174,174,0.9248434901237488,0.9473569840192795,Interested
14.395433187484741,84,2,310,205,169,169,0.9250202178955078,0.9425632283091545,Interested
14.491345405578613,85,2,310,204,169,169,0.944115936756134,0.9417892098426819,Interested
14.578806400299072,86,2,309,204,170,170,0.9628503322601318,0.9434107840061188,Interested
14.660327672958374,87,2,306,200,175,175,0.9808886647224426,0.9441669881343842,Interested
14.73105764389038,88,2,307,201,174,174,0.9566791653633118,0.9474859088659286,Interested
14.807460069656372,89,2,312,202,164,164,0.9315754771232605,0.9494507983326912,Interested
14.903573513031006,90,2,309,199,170,170,0.9122243523597717,0.9422747045755386,Interested
15.000099420547485,91,2,306,193,174,174,0.9529438018798828,0.9457872435450554,Interested
15.098876237869263,92,2,307,193,170,170,0.9184126853942871,0.9449613019824028,Interested
15.193981885910034,93,2,305,192,170,170,0.8323472738265991,0.9309902191162109,Interested
15.3066246509552,94,2,304,192,170,170,0.8589829802513123,0.9180068001151085,Interested
15.424142599105835,95,2,302,188,173,173,0.7669788002967834,0.8912680670619011,Interested
15.532236099243164,96,2,312,186,173,173,0.5144590735435486,0.8359905555844307,Interested
15.64617395401001,97,2,323,192,177,177,0.9422532916069031,0.837325282394886,Interested
15.758990287780762,98,2,339,202,174,174,0.9035455584526062,0.8362404331564903,Interested
15.873437643051147,99,2,337,204,182,182,0.548180878162384,0.785645067691803,Interested
15.987606287002563,100,2,338,205,180,180,0.9328615069389343,0.7874511703848839,Interested
16.099398851394653,101,2,342,207,177,177,0.7953530550003052,0.7828268930315971,Interested
16.213026523590088,102,2,337,205,185,185,0.8773243427276611,0.7851195633411407,Interested
16.34031629562378,103,2,342,207,178,178,0.8792794346809387,0.7991571426391602,Interested
16.44433617591858,104,2,341,208,177,177,0.9575796127319336,0.8545472100377083,Interested
16.556897163391113,105,2,333,204,184,184,0.4252261817455292,0.7899188213050365,Interested
16.677858591079712,106,2,325,200,186,186,0.9384276866912842,0.7942790873348713,Interested
16.79194951057434,107,2,320,198,179,179,0.8858567476272583,0.8364885710179806,Interested
16.909724950790405,108,2,321,198,169,169,0.9144530296325684,0.8341875113546848,Interested
17.03272318840027,109,2,319,197,171,171,0.9516212344169617,0.8537210337817669,Interested
17.145854473114014,110,2,317,193,171,171,0.9564768671989441,0.8636150993406773,Interested
17.275514125823975,111,2,314,191,175,175,0.9555776119232178,0.8731523714959621,Interested
17.39538288116455,112,2,315,192,171,171,0.9449194073677063,0.8715698458254337,Interested
17.508521556854248,113,2,314,192,172,172,0.9187719225883484,0.9332630634307861,Interested
17.614732265472412,114,2,316,193,168,168,0.9238177537918091,0.9314368218183517,Interested
17.726868391036987,115,2,314,192,171,171,0.839174747467041,0.9256015717983246,Interested
17.847355842590332,116,2,315,193,170,170,0.9649435877799988,0.9319128915667534,Interested
17.952120304107666,117,2,312,190,176,176,0.7862875461578369,0.9112461805343628,Interested
18.064372777938843,118,2,316,195,165,165,0.9563012719154358,0.9112242311239243,Interested
18.191765785217285,119,2,314,192,172,172,0.8604318499565125,0.8993310108780861,Interested
